"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_65/code_row_22.c","46","5","46","75"
"Cleartext transmission of sensitive information","Transmitting sensitive information across a network in cleartext can expose it to an attacker.","warning","This operation receives into 'password', which may put unencrypted sensitive data into [[""password""|""relative:///syntactic_permutations_135/code_row_12.c:36:11:36:18""]].","/syntactic_permutations_135/code_row_12.c","36","5","36","9"
"Cleartext transmission of sensitive information","Transmitting sensitive information across a network in cleartext can expose it to an attacker.","warning","This operation receives into 'password', which may put unencrypted sensitive data into [[""password""|""relative:///syntactic_permutations_135/code_row_4.c:24:11:24:18""]].","/syntactic_permutations_135/code_row_4.c","24","5","24","9"
"Time-of-check time-of-use filesystem race condition","Separately checking the state of a file before operating on it may allow an attacker to modify the file between the two operations.","warning","The [[""filename""|""relative:///syntactic_permutations_50/code_row_13.c:118:24:118:26""]] being operated upon was previously [[""checked""|""relative:///syntactic_permutations_50/code_row_13.c:110:13:110:16""]], but the underlying file may have been changed since then.
The [[""filename""|""relative:///syntactic_permutations_50/code_row_13.c:118:24:118:26""]] being operated upon was previously [[""checked""|""relative:///syntactic_permutations_50/code_row_13.c:114:21:114:22""]], but the underlying file may have been changed since then.","/syntactic_permutations_50/code_row_13.c","118","17","118","22"
"Uncontrolled data in SQL query","Including user-supplied data in a SQL query without neutralizing special elements can make code vulnerable to SQL Injection.","error","This argument to a SQL query function is derived from [[""user input (an environment variable)""|""relative:///syntactic_permutations_86/code_row_23.c:17:27:17:32""]] and then passed to mysql_query(q).
This argument to a SQL query function is derived from [[""user input (an environment variable)""|""relative:///syntactic_permutations_86/code_row_23.c:18:22:18:27""]] and then passed to mysql_query(q).
This argument to a SQL query function is derived from [[""user input (an environment variable)""|""relative:///syntactic_permutations_86/code_row_23.c:19:23:19:28""]] and then passed to mysql_query(q).
This argument to a SQL query function is derived from [[""user input (an environment variable)""|""relative:///syntactic_permutations_86/code_row_23.c:20:21:20:26""]] and then passed to mysql_query(q).
This argument to a SQL query function is derived from [[""user input (an environment variable)""|""relative:///syntactic_permutations_86/code_row_23.c:21:27:21:32""]] and then passed to mysql_query(q).","/syntactic_permutations_86/code_row_23.c","48","31","48","35"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'scanf string argument' operation requires 101 bytes but the destination is only 100 bytes.","/syntactic_permutations_143/code_row_25.c","44","24","44","28"
"Likely overrunning write","Buffer write operations that do not control the length of data written may overflow","error","This 'sscanf string argument' operation requires 204048 bytes but the destination is only 2048 bytes.","/syntactic_permutations_32/code_row_12.c","16","49","16","51"
"Badly bounded write","Buffer write operations with a length parameter that does not match the size of the destination buffer may overflow.","error","This 'call to fgets' operation is limited to 51 bytes but the destination is only 32 bytes.","/syntactic_permutations_94/code_row_12.c","41","9","41","13"
"Static array access may cause overflow","Exceeding the size of a static array during write or access operations may result in a buffer overflow.","warning","Potential buffer-overflow: 'hash' has size 32 not 51.","/syntactic_permutations_94/code_row_12.c","41","34","41","53"
"Potential use after free","An allocated memory block is used after it has been freed. Behavior in such cases is undefined and can cause memory corruption.","warning","Memory may have been previously freed by [[""call to free""|""relative:///syntactic_permutations_84/code_row_18.c:43:13:43:16""]].","/syntactic_permutations_84/code_row_18.c","45","39","45","50"
"Returning stack-allocated memory","A function returns a pointer to a stack-allocated region of memory. This memory is deallocated at the end of the function, which may lead the caller to dereference a dangling pointer.","warning","May return stack-allocated memory from [[""user""|""relative:///syntactic_permutations_98/code_row_8.c:85:21:85:24""]].","/syntactic_permutations_98/code_row_8.c","85","20","85","24"
"Multiplication result converted to larger type","A multiplication result that is converted to a larger type can be a sign that the result can overflow the type converted from.","warning","Multiplication result may overflow 'int' before it is converted to 'unsigned long'.","/syntactic_permutations_67/code_row_11.c","29","28","29","41"
"Too few arguments to formatting function","Calling a printf-like function with too few arguments can be a source of security issues.","error","Format for __builtin___snprintf_chk (in a macro expansion) expects 1 arguments but given 0","/syntactic_permutations_130/code_row_4.c","40","5","40","62"
"Too few arguments to formatting function","Calling a printf-like function with too few arguments can be a source of security issues.","error","Format for printf expects 1 arguments but given 0","/syntactic_permutations_24/code_row_10.c","13","5","13","10"
"Too few arguments to formatting function","Calling a printf-like function with too few arguments can be a source of security issues.","error","Format for printf expects 1 arguments but given 0","/syntactic_permutations_24/code_row_11.c","13","5","13","10"
"Too few arguments to formatting function","Calling a printf-like function with too few arguments can be a source of security issues.","error","Format for __builtin___snprintf_chk (in a macro expansion) expects 1 arguments but given 0","/syntactic_permutations_67/code_row_5.c","75","5","75","77"
"Too few arguments to formatting function","Calling a printf-like function with too few arguments can be a source of security issues.","error","Format for __builtin___snprintf_chk (in a macro expansion) expects 2 arguments but given 1","/syntactic_permutations_95/code_row_28.c","43","5","45","22"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This format specifier for type 'int' does not match the argument type 'unsigned long'.","/syntactic_permutations_5/code_row_8.c","26","93","26","134"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This format specifier for type 'int' does not match the argument type 'unsigned long'.","/syntactic_permutations_79/code_row_27.c","43","44","43","52"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This format specifier for type 'int' does not match the argument type 'unsigned long'.","/syntactic_permutations_79/code_row_27.c","44","45","44","53"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This format specifier for type 'int' does not match the argument type 'unsigned long'.","/syntactic_permutations_80/code_row_19.c","10","41","10","73"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This format specifier for type 'int' does not match the argument type 'unsigned long'.","/syntactic_permutations_80/code_row_23.c","10","51","10","81"
"Wrong type of arguments to formatting function","Calling a printf-like function with the wrong type of arguments causes unpredictable behavior.","error","This format specifier for type 'int' does not match the argument type 'unsigned long'.","/syntactic_permutations_80/code_row_3.c","10","51","10","72"
