"Information exposure through an error message","Information from an error message propagates to an external user. Error messages can unintentionally reveal implementation details that are useful to an attacker for developing a subsequent exploit.","error","[[""Error information""|""relative:///code_row_111/src/main/java/PingController.java:26:68:26:81""]] can be exposed to an external user.","/code_row_111/src/main/java/PingController.java","28","16","28","32"
"URL redirection from remote source","URL redirection based on unvalidated user-input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///code_row_30/src/main/java/RedirectServlet_2.java:14:25:14:54""]].","/code_row_30/src/main/java/RedirectServlet_2.java","16","35","16","40"
"URL redirection from remote source","URL redirection based on unvalidated user-input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///code_row_32/src/main/java/RedirectServlet_1.java:11:27:11:47""]].","/code_row_32/src/main/java/RedirectServlet_1.java","22","35","22","37"
"URL redirection from remote source","URL redirection based on unvalidated user-input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///code_row_33/src/main/java/RedirectServlet.java:11:22:11:48""]].","/code_row_33/src/main/java/RedirectServlet.java","13","35","13","37"
"Arbitrary file access during archive extraction (""Zip Slip"")","Extracting files from a malicious ZIP file, or similar type of archive, without validating that the destination file path is within the destination directory can allow an attacker to unexpectedly gain access to resources.","error","Unsanitized archive entry, which may contain '..', is used in a [[""file system operation""|""relative:///code_row_49/src/main/java/UnzipArchive_1.java:25:21:25:23""]].
Unsanitized archive entry, which may contain '..', is used in a [[""file system operation""|""relative:///code_row_49/src/main/java/UnzipArchive_1.java:36:58:36:65""]].","/code_row_49/src/main/java/UnzipArchive_1.java","20","68","20","82"
"Arbitrary file access during archive extraction (""Zip Slip"")","Extracting files from a malicious ZIP file, or similar type of archive, without validating that the destination file path is within the destination directory can allow an attacker to unexpectedly gain access to resources.","error","Unsanitized archive entry, which may contain '..', is used in a [[""file system operation""|""relative:///code_row_50/src/main/java/UnzipArchive.java:24:21:24:23""]].
Unsanitized archive entry, which may contain '..', is used in a [[""file system operation""|""relative:///code_row_50/src/main/java/UnzipArchive.java:35:58:35:65""]].","/code_row_50/src/main/java/UnzipArchive.java","19","68","19","82"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_46/src/main/java/ImageServlet.java:13:23:13:50""]].","/code_row_46/src/main/java/ImageServlet.java","26","56","26","59"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_46/src/main/java/ImageServlet.java:13:23:13:50""]].","/code_row_46/src/main/java/ImageServlet.java","20","14","20","17"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_46/src/main/java/ImageServlet.java:13:23:13:50""]].","/code_row_46/src/main/java/ImageServlet.java","20","32","20","35"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_47/src/main/java/ImageController.java:15:58:15:86""]].","/code_row_47/src/main/java/ImageController.java","17","13","17","16"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_47/src/main/java/ImageController.java:15:58:15:86""]].","/code_row_47/src/main/java/ImageController.java","20","85","20","88"
"Building a command line with string concatenation","Using concatenated strings in a command line is vulnerable to malicious insertion of special characters in the strings.","error","Command line is built with string concatenation.","/code_row_108/src/main/java/GetentPasswd.java","17","57","17","63"
"Building a command line with string concatenation","Using concatenated strings in a command line is vulnerable to malicious insertion of special characters in the strings.","error","Command line is built with string concatenation.","/code_row_113/src/main/java/PingDecorator.java","14","57","14","69"
"Uncontrolled command line","Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.","error","This command line depends on a [[""user-provided value""|""relative:///code_row_111/src/main/java/PingController.java:12:24:12:47""]].","/code_row_111/src/main/java/PingController.java","15","57","15","69"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_131/src/main/java/TemplateRenderer.java:8:23:8:50""]].","/code_row_131/src/main/java/TemplateRenderer.java","17","36","17","51"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_134/src/main/java/HelloServlet.java:11:27:11:47""]].","/code_row_134/src/main/java/HelloServlet.java","16","40","16","45"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_83/src/main/java/NameFieldApp.java:19:29:19:56""]].","/code_row_83/src/main/java/NameFieldApp.java","20","16","20","86"
