"URL redirection from remote source","URL redirection based on unvalidated user-input may cause redirection to malicious web sites.","error","Untrusted URL redirection depends on a [[""user-provided value""|""relative:///code_row_9/src/main/java/RedirectServlet.java:15:25:15:54""]].","/code_row_9/src/main/java/RedirectServlet.java","18","35","18","40"
"Deserialization of user-controlled data","Deserializing user-controlled data may allow attackers to execute arbitrary code.","error","Unsafe deserialization depends on a [[""user-provided value""|""relative:///code_row_80/src/main/java/PriceCalculatorServlet.java:26:30:26:60""]].","/code_row_80/src/main/java/PriceCalculatorServlet.java","34","35","34","56"
"Polynomial regular expression used on uncontrolled data","A regular expression that can require polynomial time to match may be vulnerable to denial-of-service attacks.","warning","This [[""regular expression""|""relative:///code_row_38/src/main/java/RedirectApplication_1.java:22:44:22:45""]] that depends on a [[""user-provided value""|""relative:///code_row_38/src/main/java/RedirectApplication_1.java:21:36:21:62""]] may run slow on strings starting with 'example.com' and with many repetitions of 'example.com'.","/code_row_38/src/main/java/RedirectApplication_1.java","22","13","22","18"
"Arbitrary file access during archive extraction (""Zip Slip"")","Extracting files from a malicious ZIP file, or similar type of archive, without validating that the destination file path is within the destination directory can allow an attacker to unexpectedly gain access to resources.","error","Unsanitized archive entry, which may contain '..', is used in a [[""file system operation""|""relative:///code_row_36/src/main/java/UnzipArchive.java:18:45:18:54""]].
Unsanitized archive entry, which may contain '..', is used in a [[""file system operation""|""relative:///code_row_36/src/main/java/UnzipArchive.java:20:45:20:66""]].
Unsanitized archive entry, which may contain '..', is used in a [[""file system operation""|""relative:///code_row_36/src/main/java/UnzipArchive.java:21:66:21:75""]].","/code_row_36/src/main/java/UnzipArchive.java","15","59","15","73"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_100/src/main/java/PdfUploadApplication.java:24:29:24:68""]].
This path depends on a [[""user-provided value""|""relative:///code_row_100/src/main/java/PdfUploadApplication.java:37:31:37:56""]].","/code_row_100/src/main/java/PdfUploadApplication.java","40","71","40","77"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_49/src/main/java/ImageServlet_1.java:15:28:15:48""]].","/code_row_49/src/main/java/ImageServlet_1.java","18","13","18","21"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_49/src/main/java/ImageServlet_1.java:15:28:15:48""]].","/code_row_49/src/main/java/ImageServlet_1.java","18","36","18","44"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","error","This path depends on a [[""user-provided value""|""relative:///code_row_49/src/main/java/ImageServlet_1.java:15:28:15:48""]].","/code_row_49/src/main/java/ImageServlet_1.java","20","60","20","68"
"Building a command line with string concatenation","Using concatenated strings in a command line is vulnerable to malicious insertion of special characters in the strings.","error","Command line is built with string concatenation.","/code_row_41/src/main/java/PingDecorator_1.java","16","57","16","74"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_100/src/main/java/PdfUploadApplication.java:24:29:24:68""]].
Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_100/src/main/java/PdfUploadApplication.java:37:31:37:56""]].","/code_row_100/src/main/java/PdfUploadApplication.java","48","20","48","60"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_33/src/main/java/FileUploadApplication.java:24:30:24:69""]].
Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_33/src/main/java/FileUploadApplication.java:40:52:40:77""]].","/code_row_33/src/main/java/FileUploadApplication.java","40","20","40","83"
"Cross-site scripting","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","error","Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_33/src/main/java/FileUploadApplication.java:24:30:24:69""]].
Cross-site scripting vulnerability due to a [[""user-provided value""|""relative:///code_row_33/src/main/java/FileUploadApplication.java:42:52:42:77""]].","/code_row_33/src/main/java/FileUploadApplication.java","42","20","42","83"
