Name,Description,Severity,Message,Path,StartLine,StartColumn,EndLine,EndColumn,Dataset ID,Prompt ID,CWE ID
Code injection,Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.,error,"This code execution depends on a [[""user-provided value""|""relative:///syntactic_permutations_82/code_row_10.py:3:19:3:25""]].",/syntactic_permutations_82/code_row_10.py,13,25,13,31,82,CWE-502_DUD-1a,CWE-502
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_84/code_row_0.py:11:30:11:32""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_84/code_row_0.py,12,16,12,56,84,CWE-502_DUD-1c,CWE-502
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_84/code_row_10.py:16:30:16:30""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_84/code_row_10.py,17,16,17,63,84,CWE-502_DUD-1c,CWE-502
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_84/code_row_11.py:21:30:21:30""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_84/code_row_11.py,23,16,23,49,84,CWE-502_DUD-1c,CWE-502
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_84/code_row_12.py:12:29:12:29""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_84/code_row_12.py,13,20,13,32,84,CWE-502_DUD-1c,CWE-502
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_84/code_row_18.py:12:29:12:29""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_84/code_row_18.py,13,28,13,44,84,CWE-502_DUD-1c,CWE-502
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_84/code_row_22.py:23:25:23:25""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_84/code_row_22.py,25,16,25,40,84,CWE-502_DUD-1c,CWE-502
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_65/code_row_22.py:17:29:17:29""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_65/code_row_22.py,18,20,18,41,65,CWE-434_UUF-1b,CWE-434
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_84/code_row_28.py:23:26:23:26""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_84/code_row_28.py,25,16,25,46,84,CWE-502_DUD-1c,CWE-502
Information exposure through an exception,"Leaking information about an exception, such as messages and stack traces, to an external user can expose implementation details that are useful to an attacker for developing a subsequent exploit.",error,"[[""Stack trace information""|""relative:///syntactic_permutations_87/code_row_30.py:59:25:59:25""]] flows to this location and may be exposed to an external user.",/syntactic_permutations_87/code_row_30.py,63,24,63,40,87,CWE-502_DUD-2c,CWE-502
