"Failure to use HTTPS URLs","Non-HTTPS connections can be intercepted by third parties.","warning","This URL may be constructed with the HTTP protocol.","/syntactic_permutations_39/code_row_8.c","101","34","101","45"
"Cleartext transmission of sensitive information","Transmitting sensitive information across a network in cleartext can expose it to an attacker.","warning","This operation receives into '& ...', which may put unencrypted sensitive data into [[""& ...""|""relative:///syntactic_permutations_142/code_row_15.c:52:76:52:95""]].","/syntactic_permutations_142/code_row_15.c","52","14","52","19"
"Cleartext transmission of sensitive information","Transmitting sensitive information across a network in cleartext can expose it to an attacker.","warning","This operation receives into '& ...', which may put unencrypted sensitive data into [[""& ...""|""relative:///syntactic_permutations_142/code_row_15.c:60:76:60:95""]].","/syntactic_permutations_142/code_row_15.c","60","14","60","19"
"Cleartext transmission of sensitive information","Transmitting sensitive information across a network in cleartext can expose it to an attacker.","warning","This operation receives into '& ...', which may put unencrypted sensitive data into [[""& ...""|""relative:///syntactic_permutations_142/code_row_15.c:36:76:36:95""]].","/syntactic_permutations_142/code_row_15.c","36","14","36","19"
"Cleartext transmission of sensitive information","Transmitting sensitive information across a network in cleartext can expose it to an attacker.","warning","This operation receives into 'email', which may put unencrypted sensitive data into [[""email""|""relative:///syntactic_permutations_57/code_row_28.c:43:39:43:43""]].","/syntactic_permutations_57/code_row_28.c","43","9","43","14"
"Cleartext transmission of sensitive information","Transmitting sensitive information across a network in cleartext can expose it to an attacker.","warning","This operation receives into 'password', which may put unencrypted sensitive data into [[""password""|""relative:///syntactic_permutations_94/code_row_13.c:95:11:95:24""]].","/syntactic_permutations_94/code_row_13.c","95","5","95","9"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_100/code_row_13.c","21","10","21","13"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_100/code_row_8.c","25","9","25","12"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_102/code_row_15.c","9","12","9","15"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_102/code_row_19.c","25","10","25","13"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_102/code_row_4.c","9","22","9","25"
"File opened with O_CREAT flag but without mode argument","Opening a file with the O_CREAT flag but without mode argument reads arbitrary bytes from the stack.","error","This creates a file without providing a mode argument, which may leak bits from the stack.","/syntactic_permutations_102/code_row_9.c","6","10","6","13"
